Waterbody Name,Latitude,Longitude,Collection Date,Level 3 Ecoregion
Arkabutula Creek,34.64436111,-90.18088889,1/23/2001,74
Horn Lake Creek,34.98355556,-90.05727778,1/22/2001,74
Camp Creek Canal,34.80160757,-89.89002859,1/28/2001,74
Pigeon Roost Creek,34.83022222,-89.82166667,1/27/2001,74
Short Fork Creek,34.80088889,-89.896,1/26/2001,74
Arkabutla Creek,34.65052778,-90.06619444,1/26/2001,74
Hickahala Creek,34.64130556,-89.80513889,1/25/2001,74
Greasy Creek,34.50833333,-89.71777778,1/27/2001,65
Tippah River,34.66533333,-89.30783333,3/5/2001,65
Little Spring Creek,34.57213889,-89.47352778,3/5/2001,65
Little Mud Creek,34.47994444,-89.09994444,1/14/2001,65
Hurricane Creek,34.457944,-89.543556,2/5/2001,65
Puskus Creek,34.40819444,-89.37622222,1/13/2001,65
Little Tallahatchie River,34.48063889,-89.22194444,1/13/2001,65
Mitchell Creek,34.48463889,-89.20105556,1/13/2001,65
Little Hatchie River,34.749,-88.83452778,2/1/2001,65
Picken's Branch,34.8565,-88.19305556,1/24/2001,65
Bridge Creek,34.8935,-88.54625,1/27/2001,65
Parmicha Creek,34.84211111,-88.52986111,1/27/2001,65
Bear Creek,34.56316667,-88.18927778,3/6/2001,65
Bear Creek,34.63666667,-88.15338333,3/6/2001,65
Rock Creek,34.51011111,-88.29663889,1/25/2001,65
Twentymile Creek,34.43097222,-88.54,2/21/2001,65
Big Brown Creek,34.49319444,-88.43663889,3/6/2001,65
Little Brown Creek,34.47172222,-88.42394444,2/20/2001,65
Mackey's Creek,34.43097222,-88.41722222,3/6/2001,65
Hotopha Creek,34.36336111,-89.87830556,1/27/2001,74
Clear Creek,34.35325,-89.6565,1/27/2001,65
Toby Tubby Creek,34.42061111,-89.61386111,2/5/2001,65
McIvor Canal,34.37055556,-90.03047222,2/6/2001,74
Long Creek,34.21452778,-89.98036111,2/6/2001,74
unnamed trib to Yocona River,34.17255556,-90.03616667,2/6/2001,74
Duncans Creek,34.33755556,-89.1525,1/16/2001,65
Yocona River,34.27422222,-89.51841667,1/27/2001,65
Duncan's Creek,34.32858333,-89.23655556,1/16/2001,65
Turkey Creek,34.0385,-89.60161111,2/8/2001,65
Skuna River Canal,34.05327778,-89.09611111,1/15/2001,65
Persimmon Creek,34.01583333,-89.42675,2/7/2001,65
Lucknuck Creek,34.05427778,-89.26069444,1/15/2001,65
Johnson-Coles Creek,33.83947222,-89.48211111,3/6/2001,65
Lappatubby Creek,34.34480556,-89.03208333,1/16/2001,65
unnamed trib to Town Creek,34.24966667,-88.70802778,3/6/2001,65
Town Creek,34.05666667,-88.62191667,3/6/2001,65
Twentymile Creek,34.39611111,-88.47166667,3/6/2001,65
Green Creek,34.17427778,-88.40586111,2/19/2001,65
Bull Mnt Creek,34.18311111,-88.30836111,3/7/2001,65
Batupan Bogue,33.76822222,-89.782,3/14/2001,74
Hays Creek,33.34066667,-89.72936111,2/3/2001,74
Peachahala Creek,33.26297222,-89.74413889,2/3/2001,74
Butputter Creek,33.77215,-89.5894,1/27/2001,65
Redgrass Creek,33.74771665,-89.6517,1/28/2001,65
Lewis Creek,33.39469444,-89.64194444,2/4/2001,65
Mulberry Creek,33.52711111,-89.54675,2/22/2001,65
Poplar Creek,33.38594444,-89.55722222,1/26/2001,65
Line Creek,33.59786111,-88.822,3/8/2001,65
Hollis Creek,33.40133333,-88.82822222,2/14/2001,65
Town Creek,33.668,-88.58069444,2/23/2001,65
Yellow Creek,33.57536111,-88.31444444,3/8/2001,65
Yellow Creek,33.17991667,-88.74875,2/6/2001,65
